Neighborhood,Latitude,Longitude
Avenue of the Arts,39.9411,-75.1656
Callowhill,39.96,-75.158
Chinatown,39.9535,-75.1563
Elfreth's Alley,39.9527806,-75.1424556
French Quarter,39.9504,-75.1698
Logan Square,39.96,-75.17
Naval Square,39.95333,-75.17
Jewelers' Row,39.94853,-75.15261
Market East,39.95266,-75.16575
Old City,39.952556,-75.142694
Museum District,39.9637,-75.1787
Penn Center,39.9537333,-75.1693889
Rittenhouse Square,39.9495,-75.1719
Fitler Square,39.947763,-75.178971
Penn's Landing,39.94564,-75.14072
Society Hill,39.945,-75.149
South Street,39.941758,-75.15069
Washington Square West,39.94556,-75.16111
Bella Vista,39.93926,-75.15295
Central South Philadelphia,39.92079,-75.17034
Devil's Pocket,39.942493,-75.18609
Dickinson Square West,39.926,-75.168
East Passyunk Crossing,39.9265,-75.1633
Franklin Delano Roosevelt Park,39.902,-75.184
Girard Estate,39.9196,-75.1828
Grays Ferry,39.936808,-75.193934
Hawthorne,39.939,-75.164
Italian Market,39.939,-75.1578
Little Saigon,39.9535,-75.1563
Angora,39.944722,-75.238611
Bartram Village,39.9309,-75.2174
Clearview,39.9038,-75.2482
Kingsessing,39.93915,-75.22165
Eastwick,39.8903,-75.2424
Elmwood Park,39.914,-75.2373
Mount Moriah,39.935,-75.2267
Paschall,39.9242,-75.2385
Philadelphia International Airport,39.87194,-75.24111
Penrose,39.87194,-75.24111
Southwest Schuylkill,39.9442,-75.1717
Hog Island,39.871944,-75.241111
Belmont District,39.96667,-75.205
Belmont Village,40.001,-75.2224
Carroll Park,39.973,-75.236
Cathedral Park,39.973,-75.236
Cedar Park,39.947,-75.216
Centennial District,39.974,-75.195
Dunlap,39.961,-75.222
Garden Court,39.95194,-75.21861
Haddington,39.96139,-75.24194
Mantua,39.964,-75.194
Mill Creek,39.966,-75.216
Overbrook,39.988,-75.25
Overbrook Park,39.977,-75.265
Overbrook Farms,39.98639,-75.25361
Parkside,39.97389,-75.20667
Powelton Village,39.95972,-75.19028
Saunders Park,39.959,-75.199
Spruce Hill,39.954,-75.21
Squirrel Hill,39.945,-75.213
University City,39.95361,-75.19861
Walnut Hill,39.956,-75.219
Woodland Terrace,39.94889,-75.20528
Wynnefield Heights,40.002,-75.209
Cobbs Creek,39.95028,-75.24722
Wynnefield,39.989,-75.233
Brewerytown,39.97611,-75.18667
Cecil B. Moore,39.98,-75.16
Hartranft,39.985,-75.147
Ludlow,39.97,-75.15
Poplar,39.965,-75.151
Sharswood,39.977,-75.173
Spring Garden,39.96611,-75.16972
Stanton,39.985,-75.165
Strawberry Mansion,39.983,-75.182
Yorktown,39.973,-75.152
Fairmount,39.965,-75.181
Northern Liberties,39.96306,-75.145
Allegheny West,40.003,-75.174
Fairhill,39.99444,-75.145
Glenwood,39.996,-75.156
Hunting Park,40.018,-75.125
Nicetown-Tioga,40.013,-75.156
Chestnut Hill,40.07,-75.206
Mount Airy,40.066,-75.184
Germantown,40.043,-75.181
Morton,40.051,-75.161
Wister,40.036,-75.161
Cedarbrook,40.073,-75.169
East Oak Lane,40.052,-75.128
Feltonville,40.01,-75.116
Fern Rock,40.035,-75.143
Koreatown,40.034,-75.121
Logan,40.035,-75.143
Ogontz,40.057,-75.146
Olney,40.034,-75.121
West Oak Lane,40.059,-75.145
Burholme,40.068,-75.09
Castor Garden,39.993,-75.092
Crescentville,40.045,-75.101
Fox Chase,40.081,-75.081
Frankford,40.016,-75.08
Holmesburg,40.042,-75.028
Juniata,40.008,-75.108
Lawncrest,40.0469,-75.0967
Lawndale,40.05,-75.091
Lexington Park,40.053,-75.046
Mayfair,40.033,-75.034
Northwood,40.024129,-75.085993
Oxford Circle,40.043,-75.078
Rhawnhurst,40.062,-75.05
Ryers,40.064,-75.086
Tacony,40.03,-75.04
Wissinoming,40.02,-75.055
Academy Gardens,40.061,-74.996
Ashton-Woodenbridge,40.071,-75.022
Bustleton,40.099,-75.043
Byberry,40.1,-74.968
Crestmont Farms,40.073,-74.977
Krewstown,40.08562,-75.0467
Millbrook,40.081,-74.978
Modena Park,40.078,-74.987
Morrell Park,40.067,-74.989
Normandy,40.084,-74.966
Parkwood,40.102,-74.966
Pennypack,40.067,-75.05
Somerton,40.124,-75.008
Torresdale,40.05,-75
Upper Holmesburg,40.046,-75.009
Winchester Park,40.046,-75.019
